Year,State,Total
2017,Alabama,3.40%
2017,Alaska,1.20%
2017,Arizona,1.80%
2017,Arkansas,1.80%
2017,California,0.50%
2017,Colorado,1.70%
2017,Connecticut,1.50%
2017,Delaware,2.90%
2017,District of Columbia,3.00%
2017,Florida,2.60%
2017,Georgia,3.20%
2017,Hawaii,1.70%
2017,Idaho,3.30%
2017,Illinois,2.50%
2017,Indiana,3.00%
2017,Iowa,1.70%
2017,Kansas,3.20%
2017,Kentucky,4.40%
2017,Louisiana,3.60%
2017,Maine,2.70%
2017,Maryland,2.70%
2017,Massachusetts,2.50%
2017,Michigan,2.10%
2017,Minnesota,0.90%
2017,Mississippi,4.10%
2017,Missouri,2.00%
2017,Montana,0.80%
2017,Nebraska,1.30%
2017,Nevada,1.40%
2017,New Hampshire,2.10%
2017,New Jersey,1.50%
2017,New Mexico,2.70%
2017,New York,1.80%
2017,North Carolina,3.30%
2017,North Dakota,2.00%
2017,Ohio,1.70%
2017,Oklahoma,3.10%
2017,Oregon,1.20%
2017,Pennsylvania,3.10%
2017,Rhode Island,1.40%
2017,South Carolina,3.80%
2017,South Dakota,1.80%
2017,Tennessee,4.10%
2017,Texas,3.10%
2017,Utah,2.40%
2017,Vermont,1.80%
2017,Virginia,3.60%
2017,Washington,0.80%
2017,West Virginia,2.10%
2017,Wisconsin,2.70%
2017,Wyoming,2.20%
